Date,Year,Month_Num,Month_Name,Quarter,Quarter_Label,Week_Num,Day_Name,Day_Num,Is_Weekend,Is_Month_Start,Is_Month_End
2017-07-01,2017,7,July,3,Q3 2017,26,Saturday,1,1,1,0
2017-07-02,2017,7,July,3,Q3 2017,26,Sunday,2,1,0,0
2017-07-03,2017,7,July,3,Q3 2017,27,Monday,3,0,0,0
2017-07-04,2017,7,July,3,Q3 2017,27,Tuesday,4,0,0,0
2017-07-05,2017,7,July,3,Q3 2017,27,Wednesday,5,0,0,0
2017-07-06,2017,7,July,3,Q3 2017,27,Thursday,6,0,0,0
2017-07-07,2017,7,July,3,Q3 2017,27,Friday,7,0,0,0
2017-07-08,2017,7,July,3,Q3 2017,27,Saturday,8,1,0,0
2017-07-09,2017,7,July,3,Q3 2017,27,Sunday,9,1,0,0
2017-07-10,2017,7,July,3,Q3 2017,28,Monday,10,0,0,0
2017-07-11,2017,7,July,3,Q3 2017,28,Tuesday,11,0,0,0
2017-07-12,2017,7,July,3,Q3 2017,28,Wednesday,12,0,0,0
2017-07-13,2017,7,July,3,Q3 2017,28,Thursday,13,0,0,0
2017-07-14,2017,7,July,3,Q3 2017,28,Friday,14,0,0,0
2017-07-15,2017,7,July,3,Q3 2017,28,Saturday,15,1,0,0
2017-07-16,2017,7,July,3,Q3 2017,28,Sunday,16,1,0,0
2017-07-17,2017,7,July,3,Q3 2017,29,Monday,17,0,0,0
2017-07-18,2017,7,July,3,Q3 2017,29,Tuesday,18,0,0,0
2017-07-19,2017,7,July,3,Q3 2017,29,Wednesday,19,0,0,0
2017-07-20,2017,7,July,3,Q3 2017,29,Thursday,20,0,0,0
2017-07-21,2017,7,July,3,Q3 2017,29,Friday,21,0,0,0
2017-07-22,2017,7,July,3,Q3 2017,29,Saturday,22,1,0,0
2017-07-23,2017,7,July,3,Q3 2017,29,Sunday,23,1,0,0
2017-07-24,2017,7,July,3,Q3 2017,30,Monday,24,0,0,0
